product-7-9	Compute 7 times 9, then add 1. Give only the final result:	 63
product-8-2	Compute 8 times 2, then add 1. Give only the final result:	 16
product-8-3	Compute 8 times 3, then add 1. Give only the final result:	 24
product-8-4	Compute 8 times 4, then add 1. Give only the final result:	 32
product-8-5	Compute 8 times 5, then add 1. Give only the final result:	 40
product-8-6	Compute 8 times 6, then add 1. Give only the final result:	 48
product-8-7	Compute 8 times 7, then add 1. Give only the final result:	 56
product-8-8	Compute 8 times 8, then add 1. Give only the final result:	 64
product-8-9	Compute 8 times 9, then add 1. Give only the final result:	 72
product-9-2	Compute 9 times 2, then add 1. Give only the final result:	 18
product-9-3	Compute 9 times 3, then add 1. Give only the final result:	 27
product-9-4	Compute 9 times 4, then add 1. Give only the final result:	 36
product-9-5	Compute 9 times 5, then add 1. Give only the final result:	 45
product-9-6	Compute 9 times 6, then add 1. Give only the final result:	 54
product-9-7	Compute 9 times 7, then add 1. Give only the final result:	 63
product-9-8	Compute 9 times 8, then add 1. Give only the final result:	 72
product-9-9	Compute 9 times 9, then add 1. Give only the final result:	 81
sum-2-2	Compute (2 plus 2) times 2. Give only the final result:	 4
sum-2-3	Compute (2 plus 3) times 2. Give only the final result:	 5
sum-2-4	Compute (2 plus 4) times 2. Give only the final result:	 6
sum-2-5	Compute (2 plus 5) times 2. Give only the final result:	 7
sum-2-6	Compute (2 plus 6) times 2. Give only the final result:	 8
sum-2-7	Compute (2 plus 7) times 2. Give only the final result:	 9
sum-2-8	Compute (2 plus 8) times 2. Give only the final result:	 10
sum-2-9	Compute (2 plus 9) times 2. Give only the final result:	 11
sum-3-2	Compute (3 plus 2) times 2. Give only the final result:	 5
sum-3-3	Compute (3 plus 3) times 2. Give only the final result:	 6
sum-3-4	Compute (3 plus 4) times 2. Give only the final result:	 7
sum-3-5	Compute (3 plus 5) times 2. Give only the final result:	 8
sum-3-6	Compute (3 plus 6) times 2. Give only the final result:	 9
sum-3-7	Compute (3 plus 7) times 2. Give only the final result:	 10
sum-3-8	Compute (3 plus 8) times 2. Give only the final result:	 11
sum-3-9	Compute (3 plus 9) times 2. Give only the final result:	 12
sum-4-2	Compute (4 plus 2) times 2. Give only the final result:	 6
sum-4-3	Compute (4 plus 3) times 2. Give only the final result:	 7
sum-4-4	Compute (4 plus 4) times 2. Give only the final result:	 8
sum-4-5	Compute (4 plus 5) times 2. Give only the final result:	 9
sum-4-6	Compute (4 plus 6) times 2. Give only the final result:	 10
sum-4-7	Compute (4 plus 7) times 2. Give only the final result:	 11
sum-4-8	Compute (4 plus 8) times 2. Give only the final result:	 12
sum-4-9	Compute (4 plus 9) times 2. Give only the final result:	 13
sum-5-2	Compute (5 plus 2) times 2. Give only the final result:	 7
sum-5-3	Compute (5 plus 3) times 2. Give only the final result:	 8
sum-5-4	Compute (5 plus 4) times 2. Give only the final result:	 9
sum-5-5	Compute (5 plus 5) times 2. Give only the final result:	 10
sum-5-6	Compute (5 plus 6) times 2. Give only the final result:	 11
sum-5-7	Compute (5 plus 7) times 2. Give only the final result:	 12
sum-5-8	Compute (5 plus 8) times 2. Give only the final result:	 13
sum-5-9	Compute (5 plus 9) times 2. Give only the final result:	 14
sum-6-2	Compute (6 plus 2) times 2. Give only the final result:	 8
sum-6-3	Compute (6 plus 3) times 2. Give only the final result:	 9
sum-6-4	Compute (6 plus 4) times 2. Give only the final result:	 10
sum-6-5	Compute (6 plus 5) times 2. Give only the final result:	 11
sum-6-6	Compute (6 plus 6) times 2. Give only the final result:	 12
sum-6-7	Compute (6 plus 7) times 2. Give only the final result:	 13
sum-6-8	Compute (6 plus 8) times 2. Give only the final result:	 14
sum-6-9	Compute (6 plus 9) times 2. Give only the final result:	 15
sum-7-2	Compute (7 plus 2) times 2. Give only the final result:	 9
sum-7-3	Compute (7 plus 3) times 2. Give only the final result:	 10
sum-7-4	Compute (7 plus 4) times 2. Give only the final result:	 11
sum-7-5	Compute (7 plus 5) times 2. Give only the final result:	 12
sum-7-6	Compute (7 plus 6) times 2. Give only the final result:	 13
sum-7-7	Compute (7 plus 7) times 2. Give only the final result:	 14
sum-7-8	Compute (7 plus 8) times 2. Give only the final result:	 15
sum-7-9	Compute (7 plus 9) times 2. Give only the final result:	 16
sum-8-2	Compute (8 plus 2) times 2. Give only the final result:	 10
sum-8-3	Compute (8 plus 3) times 2. Give only the final result:	 11
sum-8-4	Compute (8 plus 4) times 2. Give only the final result:	 12
sum-8-5	Compute (8 plus 5) times 2. Give only the final result:	 13
sum-8-6	Compute (8 plus 6) times 2. Give only the final result:	 14
sum-8-7	Compute (8 plus 7) times 2. Give only the final result:	 15
sum-8-8	Compute (8 plus 8) times 2. Give only the final result:	 16
sum-8-9	Compute (8 plus 9) times 2. Give only the final result:	 17
sum-9-2	Compute (9 plus 2) times 2. Give only the final result:	 11
sum-9-3	Compute (9 plus 3) times 2. Give only the final result:	 12
sum-9-4	Compute (9 plus 4) times 2. Give only the final result:	 13
sum-9-5	Compute (9 plus 5) times 2. Give only the final result:	 14
sum-9-6	Compute (9 plus 6) times 2. Give only the final result:	 15
sum-9-7	Compute (9 plus 7) times 2. Give only the final result:	 16
sum-9-8	Compute (9 plus 8) times 2. Give only the final result:	 17
sum-9-9	Compute (9 plus 9) times 2. Give only the final result:	 18
